teamid,uploads_last_7_days,uploads_last_14_days,uploads_last_30_days,uploads_last_60_days,uploads_last_90_days,uploads_last_365_days,users_watching_video_last_7_days,users_watching_video_last_14_days,users_watching_video_last_30_days,users_watching_video_last_60_days,users_watching_video_last_90_days,users_watching_video_last_365_days
00056c20eb5a029583db75506953f1d9,9,24,42,79,80,100,12,14,16,19,19,26
000c2a50c7da4754405a2a541d6d8867,2,3,14,22,28,48,0,1,2,11,13,15
001092f910b10f77132dcef098ac765d,1,1,3,5,5,5,1,4,8,11,11,16
0017ac521e5d805c9ee93798173f318f,0,0,0,0,0,5,0,0,0,2,2,6
0025ed4265e8272f5d0c95c4c49fbd38,1,6,7,16,21,32,3,4,6,10,14,22
002f948c7a38d300ff41436090481bb7,2,3,16,38,43,54,9,10,12,13,13,25
0035874fe0c316bce3db526c79840c0b,4,5,22,37,41,77,3,4,7,13,14,24
0046f1e91aa13dede4f6ee775c6293ab,0,2,5,11,11,11,1,3,5,13,13,13
005333820f17ed4bf20b575a3b16a630,3,3,18,32,32,32,0,2,4,6,7,8
005ecb07239a6c4a94d089f5942002d3,2,6,12,18,18,26,5,5,6,10,11,18
006320a81d002fb211a2c4e90e663447,2,3,9,24,35,44,9,10,14,15,17,23
00650747d878eecae4d468a880de38b2,8,17,30,52,53,87,15,20,24,26,27,37
0065827f588a93273fc4573b432622cf,2,4,6,13,16,38,0,1,2,7,9,15
0068c15cfb8ec6a0060b94d9def64ea0,0,0,0,0,0,0,1,1,1,3,5,6
006adddba59efd2f651c59439d9124de,3,8,12,18,18,36,7,8,9,12,13,19
006d879b066510db728e2c1b4ae601df,5,9,22,40,46,49,2,2,2,2,2,3
006f55ea1acfe749d6cf97e2ff01d6a0,2,5,11,24,32,32,4,6,6,11,12,14
00746ceb6de67171e8299c90a5f8085c,1,2,2,3,3,7,0,0,0,0,0,0
007496ff404d0a1d4e5c993492d4b99a,8,11,22,48,51,78,3,3,6,13,15,18
007d68be0f0544a1e6222a053a8acec0,3,3,4,5,5,13,2,2,3,4,4,14
00888e00d5a33a42ce6f9c63d4cb6d47,0,3,5,12,16,23,2,5,6,7,8,15
008a9495380927811f8be83c406523d8,2,3,10,22,32,45,2,3,7,9,12,19
008d82a0f2f194c0b4f36a8d4b5146f6,0,0,0,0,0,0,0,0,0,1,2,4
0090e9b8adf1a5fccf110625b6969a2f,2,4,8,14,16,24,3,4,5,12,13,18
009c33af49f6e5b9b57d31967e7ee46e,0,0,0,0,0,0,0,0,0,1,1,1
00a044506d1c2743588c851f4a331e34,3,5,12,27,28,38,7,10,12,15,16,20
00a664c2e653e3b83f7b43a339df73b8,0,0,0,0,0,0,0,0,0,0,0,3
00a67ce3ed520b7851398883a355273d,4,7,20,36,39,52,11,14,19,21,22,23
00add00c735885458049cc312a6c8a55,3,5,10,19,20,27,6,9,13,18,19,27
00b1ffa6b35bacee3232393ab698792e,4,7,13,18,18,25,2,4,4,6,6,14
00b5d2692a781b6a9d3d1522c6e9d1ad,3,7,22,41,65,121,10,12,12,14,16,17
00b885d997707b4102c91271a60f01b7,2,3,4,6,11,18,5,6,6,7,13,18
00bfa3ccf8d32d68f48b1f248429b2ab,1,2,7,15,15,21,0,0,0,9,9,14
00c54e5083e287be057757dc82f9874e,1,1,1,2,2,2,0,0,0,2,2,2
00c557baada9893e74a83d8b6feb735d,10,16,18,27,34,42,4,4,6,21,30,35
00d36b1043422ed80ee3176523872da4,1,7,11,29,44,44,2,10,13,26,28,28
00d3e8d7387ab5979eff977ca155b3bf,1,4,9,22,24,36,5,8,13,18,18,24
00d4e0aa728e91def3ee7293fcda8670,10,18,44,110,126,162,8,9,12,20,23,31
00d9a4020de160a7d2dcf2aa0018e387,3,7,16,30,30,30,2,2,2,6,6,6
00da6b26df63e2d0d265a0c0d89d300d,2,4,15,33,35,35,5,7,12,17,20,20
00db6bcb0065453e54ddc5670059e23e,0,3,4,4,4,4,2,2,4,4,4,4
